number,identifier,category,rationale
175,LABS,Administration of PPD Test,Administration of PPD Test (86580) should be billed with Z11.1 (Encounter for screening for respiratory tuberculosis).
176,LABS,Sexually Transmitted Infection and HIV Screening CPT ® Codes,"Sexually Transmitted Infection and HIV Screening CPT Codes - Use Z11.3 (Screening for infections with a predominantly sexual mode of transmission (excludes HPV and HIV)), Z11.4 (Screening for HIV), Z11.51 (Screening for human papillomavirus (HPV)) or Z11.8 (Screening for other infectious and parasitic diseases (eg, chlamydia)) if performed during routine well-child visit as a screening."
177,LABS,General Health Panel,"Use 80050 for general health panel. This panel must include the following: Comprehensive metabolic panel (80053) Blood count, complete (CBC), automated and automated differential WBC count (85025 or 85027 and 85004) OR Blood count, complete (CBC), automated (85027) and appropriate manual differential WBC count (85007 or 85009), and Thyroid stimulating hormone (TSH) (84443). Normally, codes 80053, 85025 and 84443 are used for the panel."
178,LABS,Medicare General Health Panel,"80050 is not reimbursed by payer. Unbundle labs and bill individually. Normally offices order 80053, 85025 and 84443 for this panel."
179,LABS,CLIA Waived Test,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
180,LABS,CLIA Waived Test,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
181,LABS,81025 - Medical Necessity,81025 - Review encounter for supportive diagnosis for pregnancy test.
183,LABS,VT Medicaid labs,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
184,LABS,Drug Testing - Medical Necessity Other than Medicare,Drug Testing - ICD-10 codes that support medical necessity may not be present. Review diagnosis coding and payer policy.
185,LABS,"81000-81003, 80305-80307","Per CCI guidelines, 81000-81003 has an unbundle relationship with 80305-80307. Review documentation to determine if a modifier override is appropriate."
186,NEURO,G0453 Add-on,"G0453 is missing the primary procedure code. Use G0453 in conjunction with the study performed:92653, 95822, 95860-95870, 95907-95913, 95925, 95926, 95927, 95928, 95929, 95930-95937, 95938, 95939"
187,NEURO,64462 - Add-on Code,64462 is missing the primary procedure. Use 64462 in conjunction with 64461.
188,NEURO,"95885, 95886 - Add-on code","95885 or 95886 is missing the primary procedure code. Use 95885, 95886 in conjunction with 95907-95913."
189,NEURO,95941,Medicare/United Healthcare: Code 95941 is considered invalid for reimbursement purposes. See code G0453.
190,NEURO,IONM Place of Service,"Review place of service: The American Academy of Neurology states IONM services should be performed in Place of Service (POS) 19, 21, 22 or 24."
191,NEURO,Imaging guidance included,"Imaging guidance is included in the injection administration code. Review coding per CPT guidelines - do not report 62321, 62323, 62325, 62327 in conjunction with 77003, 77012, 76942."
192,NEURO,Injections,Injection code is present without a drug. Review chart for drug used. Add drug if office supplied.
193,NEURO,SSEP Upper and Lower Limbs,"95925 and 95926 should not be reported together. See code 95938 (Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system, in upper and lower limbs)"
194,NEURO,CMEP upper and lower limbs,"95928 and 95929 should not be reported together. See 95939 (Central motor evoked potential study (transcranial motor stimulation), in upper and lower limbs)."
195,NEURO,95941 Add-on Code,"95941 is missing the primary procedure code. Use 95941 in conjunction with the study performed: 92653, 95822, 95860-95870, 95907-95913, 95925, 95926, 95927, 95928, 95929, 95930-95937, 95938, 95939 95867, 95868, 95870, 95900, 95904, 95925-95937"
196,NEURO,"95873, 95874 Add-On Code","95873 and/or 95874 is missing the primary procedure code. Use 95873, 95874 in conjunction with 64612, 64615, 64616, 64642, 64643, 64644, 64645, 64646, 64647."
197,NEURO,Injections,Injection code is present without a drug. Review chart for drug used. Add drug if clinic supplied.
198,NEURO,Missing drug,Destruction of Neurolytic Agent or Chemodenervation code is present without a drug. Review chart for drug used. Add drug if clinic supplied.
199,NEURO,64480 - Add-on Code,64480 is missing the primary procedure. Use 64480 in conjunction with 64479
200,NEURO,64484 - Add-on Code,64484 is missing the primary procedure. Use 64484 in conjunction with 64483.
201,MCD:OH,RHC visit,RHC medical services visits are reported with T1015 and modifier U1.
202,MCD:OH,Telemedicine originating site fee,Telemedicine originating site fee is reported with T1015 and modifier UA.
203,MCD:OH,VFC Vaccines,Providers participating in the VFC program must use modifier “SL” on the claim line for the vaccine.
204,MCD:OH,CLIA Waived Test,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
205,MCD:OH,Modifier SA,Modifier SA is required when a supervising physician bills on behalf of a mid-level provider for non-surgical services.
206,MCD:OH,RHC visit,RHC medical services visits are reported with T1015 and modifier U1.
207,MCD:OH,NDC requirement,"Providers billing HCPCS codes in the J series and Q or S series, that represent drugs and CPT codes 90281 – 90399 series (immune globulins) must include the 11 digit NDC number."
208,MCD:OH,90461,CPT code 90460 should be reported separately for each administration of a vaccine toxoid CPT code. ODM does not recognize CPT 90461 for the reporting of additional toxoid components of combination vaccines.
209,OPHTH,Medicare Routine Exam,Medicare does not cover routine eye exams.
210,OPHTH,Medicare referring provider - Ophthalmology,Medicare may require the ordering/referring provider information. Add referring provider for Medicare.
211,MCD:OR,NDC requirements,Oregon Medicaid requires NDC information.
212,MCD:OR,RHC Visit,An RHC qualifying visit is not present - bundle encounter with qualifying visit.
213,MCD:OR,RHC Claim Type,Encounters are submitted on 1500 claim forms.
214,MCD:OR,VFC Vaccines,VFC vaccines should be billed with appropriate modifier -SL or -26.
215,ORTHO,Synvisc Series vs Synvisc One,"Review chart to verify administration of Synvisc One vs Synvisc series injections. Synvisc series = 16 units, Synvisc One = 48 units"
216,ORTHO,Long arm cast supplies,"Long arm cast supplies (Q4005, Q4006, Q4007, Q4008) should be coded with 29065."
217,ORTHO,Short arm cast supplies,"Short arm cast supplies (Q4009, Q4010, Q4011, Q4012) should be coded with 29075."
218,ORTHO,Long arm splint supplies,"Long arm splint supplies (Q4017, Q4018, Q4019, Q4020, L*) should be coded with 29105."
219,ORTHO,Short arm splint supplies,"Short arm splint supplies (Q4021, Q4022, Q4023, Q4024, L*) should be coded with application of splint."
220,ORTHO,Cylinder Cast,"29358: Code with caution: this casting technique is rarely performed, having been replaced by a pre-fabricated long leg brace."
221,ORTHO,Long leg cast supplies,"Long leg cast supplies (Q4029, Q4030, Q4031, Q4032) should be coded with 29345, 29355."
222,ORTHO,Short leg cast supplies,"Short leg cast supplies (Q4037, Q4038, Q4039, Q4040) should be coded with 29405, 29425."
223,ORTHO,Pediatric Supplies,Supply code used is not appropriate for the age of the patient. Code is used for patients aged 0-10 years old.
224,ORTHO,Cast/Splint Supplies,Supply code used is not appropriate for the age of the patient. Code is used for patients aged 11+ years old.
225,ORTHO,Medicare 27216,27216 is not covered by Medicare in any payment system. See code G0413.
227,ORTHO,Medicare 27215,27215 is not covered by Medicare in any payment system. See code G0412.
228,ORTHO,Medicare 27217,27217 is not covered by Medicare in any payment system. See code G0414.
229,ORTHO,Medicare 27218,27218 is not covered by Medicare in any payment system. See code G0415.
230,ORTHO,Bilateral knee injection,"If bilateral knee injections were performed, Medicare requires reporting 20610/20611 with modifier 50 rather than listing injections separately. Other payers may follow these guidelines."
231,ORTHO,"64493, 64483 - W/C","Review billing guidelines for 64483, 64493 when billing Workers Compensation"
232,ORTHO,"29819 and 29827, 29807",The loose body must be larger than 5 mm in order to report (29819-59).
233,ORTHO,"29916, 29915",29915 should not be reported with 29916 - acetabuloplasty is included in the global service description of 29916 when performed on the same hip.
234,ORTHO,"29914, 29915, 29862, 29863",Do not report 29914 or 29915 with 29862 or 29863 when performed on the same hip per CPT guidelines.
235,ORTHO,29881-AS Medicare,Medicare payment restriction for assistants at surgery applies to 29881 unless supporting documentation is submitted to establish medical necessity.
236,ORTHO,Cast Supplies,Report cast supplies with the appropriate Q codes.
237,ORTHO,Splint Supplies,Report splint supplies with the appropriate Q codes.
238,PREVENT,NA,See codes Z13.41 (Encounter for autism screening) and/or (Z13.42 Encounter for screening for global developmental delays (milestones)) to support 96110.
239,PREVENT,"99381, 99391 Age Alert",CPT used is not appropriate for the age of the patient - Patient is older than 1 year old
240,PREVENT,"99497, 99498 - Preventive","99497, 99498 is billed with modifier 33 when performed during a preventive visit."
241,PREVENT,Preventive E/M - Medicare,Medicare does not reimburse preventive medicine E/M services
242,PREVENT,Age vs ICD-10 Discrepancy,"For a health check for newborn under 8 days old, use Z00.110"
243,PREVENT,Age vs ICD-10 Discrepancy,"For a health check for newborn 8 to 28 days old, use Z00.111"
244,PREVENT,Child health check diagnosis,"For encounter for routine child health examination, use Z00.121 or Z00.129"
245,PREVENT,Adult preventive diagnosis,"For general adult medical examination, use Z00.00 or Z00.01"
246,PREVENT,"99406, 99407",Diagnosis is not present for smoking and tobacco use cessation counseling codes. Review encounter for medical necessity.
247,PREVENT,IPPE EKG Screening,"G0403, G0404, and G0405 is reported with G0402 (IPPE AKA Welcome to Medicare exam) only. Must be performed within the first 12 months of Part B coverage."
248,PREVENT,IPPE EKG Tracing,93005 should not be reported with G0402 - See G0404.
249,PREVENT,IPPE EKG Interpretation and Report,93010 should not be reported with G0402 - See G0405.
250,PREVENT,"99382, 99392 Age Alert",CPT used is not appropriate for the age of the patient - Patient is either younger than 1 year old or older than 4 years old
251,PREVENT,G0447,G0447 must be submitted with an appropriate BMI diagnosis - review coding.
252,PREVENT,Preventive Exam ICD-10,Preventive Exam ICD-10 - Review encounter for age appropriate diagnosis for preventive visit.
253,PREVENT,Medicare 99401-99404,Preventive medicine counseling and/or risk factor reduction intervention(s) is not covered by Medicare.
254,PREVENT,Counseling codes,Counseling codes (99401–99404) cannot be reported in addition to preventive medicine service codes(99381–99385 and 99391–99395).
255,PREVENT,"PREVENTIVE MEDICINE, COUNSELING",ICD-10-CM Codes for Preventive Counseling will vary depending on the reason for the encounter. Review for possible missing diagnosis (alert dx codes are not all inclusive).
256,PREVENT,Pediatric Smoking Cessation,"Warning - 99406, 99407 is only used when counseling a patient on smoking cessation. Time spent counseling the parent or guardian falls under the E/M service time."
257,PREVENT,"Behavior Change Interventions, Individual","Behavior Change Interventions, Individual - Review encounter for possible missing ICD-10 codes."
258,PREVENT,Vision Screening,"Per AAP: Z01.00 and Z01.01 (examination of eyes and vision with and without abnormal findings) are reported only for routine examination of eyes and vision, not when a vision screening is done during a routine well-child examination. Review payer guidelines."
259,PREVENT,Hearing Screening,"Per AAP: Codes Z01.10 (encounter for examination of ears and hearing without abnormal findings) and Z01.118 (encounter for examination of ears and hearing with other abnormal findings) are reported only when a patient presents for an encounter specific to ears and hearing, not for a routine well-child examination at which a hearing screening is performed. Review payer guidelines."
260,PREVENT,"99383, 99393 Age Alert",CPT used is not appropriate for the age of the patient - Patient is either younger than 5 years old or older than 11 years old
261,PREVENT,Vision Screening,Z01.00 and Z01.01 (examination of eyes and vision with and without abnormal findings) are reported for routine examination of eyes and vision outside of a routine well-child exam.
